0,1
AIDE/root/autodl-tmp/AIDE_Dataset/2317/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2317.json
AIDE/root/autodl-tmp/AIDE_Dataset/2086/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2086.json
AIDE/root/autodl-tmp/AIDE_Dataset/1983/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1983.json
AIDE/root/autodl-tmp/AIDE_Dataset/0340/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0340.json
AIDE/root/autodl-tmp/AIDE_Dataset/1728/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1728.json
AIDE/root/autodl-tmp/AIDE_Dataset/2000/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2000.json
AIDE/root/autodl-tmp/AIDE_Dataset/0138/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0138.json
AIDE/root/autodl-tmp/AIDE_Dataset/1116/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1116.json
AIDE/root/autodl-tmp/AIDE_Dataset/0477/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0477.json
AIDE/root/autodl-tmp/AIDE_Dataset/2079/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2079.json
AIDE/root/autodl-tmp/AIDE_Dataset/2286/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2286.json
AIDE/root/autodl-tmp/AIDE_Dataset/2576/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2576.json
AIDE/root/autodl-tmp/AIDE_Dataset/3049/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/3049.json
AIDE/root/autodl-tmp/AIDE_Dataset/1222/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1222.json
AIDE/root/autodl-tmp/AIDE_Dataset/2221/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2221.json
AIDE/root/autodl-tmp/AIDE_Dataset/2257/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2257.json
AIDE/root/autodl-tmp/AIDE_Dataset/0550/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0550.json
AIDE/root/autodl-tmp/AIDE_Dataset/1014/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1014.json
AIDE/root/autodl-tmp/AIDE_Dataset/2430/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/2430.json
AIDE/root/autodl-tmp/AIDE_Dataset/0009/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0009.json
AIDE/root/autodl-tmp/AIDE_Dataset/1612/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1612.json
AIDE/root/autodl-tmp/AIDE_Dataset/0706/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0706.json
AIDE/root/autodl-tmp/AIDE_Dataset/0868/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0868.json
AIDE/root/autodl-tmp/AIDE_Dataset/0509/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0509.json
AIDE/root/autodl-tmp/AIDE_Dataset/1695/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/1695.json
AIDE/root/autodl-tmp/AIDE_Dataset/0974/,AIDE/root/autodl-tmp/AIDE_Dataset/annotation/0974.json
